site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2143,-,2017-10-05,13,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,14,30.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,15,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,16,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,17,5.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,18,3.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,19,4.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,20,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,21,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,22,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-05,23,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,0,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,1,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
2143,-,2017-10-06,2,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Davis-UCD Campus,38.534722000000002,-121.773611,H,, 
