site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2125,-,10/10/2017,17,27,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,18,21,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,20,28,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,21,29,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,22,24,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/10/2017,23,27,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,0,26,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,1,20,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,2,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,3,22,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,4,16,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,5,27,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,6,24,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,7,30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,8,30,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,9,39,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,10,48,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,13,143,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,14,107,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,16,18,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,17,21,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,18,14,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,19,12,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,20,13,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/11/2017,21,24,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,1,40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,9,86,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,10,89,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,11,54,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,12,51,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,13,49,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,16,95,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/12/2017,17,60,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,5,37,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,6,42,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,7,55,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,8,55,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,9,42,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,10,48,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,11,35,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,12,31,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,13,34,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,14,41,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,15,51,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,18,74,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,19,80,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,20,83,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,21,86,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/13/2017,22,85,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),1,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/14/2017,6,40,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/14/2017,8,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/14/2017,9,6,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/14/2017,10,3,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
2125,-,10/14/2017,11,1,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Redwood City,37.483056,-122.203611,H,, 
